,Symbol,Date,Open,High,Low,Close,Volume
328,IDXG,2018-04-05,8.8,9.5,8.8,9.1,280300
329,IDXG,2018-04-06,9.1,9.2,8.9,9.2,189500
330,IDXG,2018-04-09,9.2,9.2,9.0,9.0,129400
331,IDXG,2018-04-10,9.0,9.5,8.9,9.5,268000
332,IDXG,2018-04-11,9.4,9.4,9.1,9.3,139100
333,IDXG,2018-04-12,9.4,9.4,9.1,9.2,97400
334,IDXG,2018-04-13,9.25,9.32,8.9,9.25,131500
335,IDXG,2018-04-16,9.2,9.3,9.0,9.05,190300
336,IDXG,2018-04-17,9.0,9.2,8.9,9.1,202400
337,IDXG,2018-04-18,9.7,9.7,9.3,9.4,547200
338,IDXG,2018-04-19,9.4,9.55,8.9,9.09,274000
339,IDXG,2018-04-20,9.3,9.3,9.0,9.1,245100
340,IDXG,2018-04-23,9.1,9.25,8.92,9.05,162800
341,IDXG,2018-04-24,9.2,9.2,8.9,9.0,133400
342,IDXG,2018-04-25,9.14,9.2,8.9,9.05,114700
343,IDXG,2018-04-26,9.1,9.1,8.9,8.9,94300
344,IDXG,2018-04-27,9.0,9.05,7.67,8.5,1163600
345,IDXG,2018-04-30,8.8,8.8,8.6,8.8,153700
346,IDXG,2018-05-01,8.7,8.9,8.7,8.8,137200
347,IDXG,2018-05-02,8.81,9.05,8.8,8.91,144400
348,IDXG,2018-05-03,8.9,9.0,8.6,8.6,225500
349,IDXG,2018-05-04,8.6,8.65,8.42,8.6,211700
350,IDXG,2018-05-07,8.6,8.8,8.5,8.7,232200
351,IDXG,2018-05-08,8.8,8.9,8.6,8.8,210700
352,IDXG,2018-05-09,8.9,9.3,8.8,9.2,417500
353,IDXG,2018-05-10,9.3,9.4,9.1,9.35,285300
354,IDXG,2018-05-11,9.4,9.4,9.0,9.2,214600
355,IDXG,2018-05-14,9.4,9.9,9.2,9.6,627300
356,IDXG,2018-05-15,9.5,9.5,8.8,9.0,663100
357,IDXG,2018-05-16,9.5,9.5,8.8,8.8,224400
358,IDXG,2018-05-17,8.8,9.0,8.7,8.8,289200
359,IDXG,2018-05-18,8.8,9.0,8.8,9.0,130900
360,IDXG,2018-05-21,9.0,9.0,8.7,8.9,284700
361,IDXG,2018-05-22,8.9,8.9,8.5,8.6,285700
362,IDXG,2018-05-23,8.7,8.7,8.5,8.6,305100
363,IDXG,2018-05-24,8.6,8.6,8.3,8.4,314000
364,IDXG,2018-05-25,8.5,8.6,8.4,8.4,118400
365,IDXG,2018-05-28,8.4,8.4,8.4,8.4,0
366,IDXG,2018-05-29,8.4,8.5,8.2,8.3,216400
367,IDXG,2018-05-30,8.6,8.8,8.3,8.3,338400
368,IDXG,2018-05-31,8.6,8.6,8.2,8.3,184000
369,IDXG,2018-06-01,8.3,8.6,8.1,8.4,193100
370,IDXG,2018-06-04,8.5,8.78,8.43,8.65,169400
371,IDXG,2018-06-05,8.5,9.18,8.5,8.95,473700
372,IDXG,2018-06-06,9.1,9.1,8.8,8.8,260200
373,IDXG,2018-06-07,9.0,9.0,8.7,8.8,164900
374,IDXG,2018-06-08,8.79,8.79,8.45,8.45,527200
375,IDXG,2018-06-11,8.9,9.1,8.3,8.85,736600
376,IDXG,2018-06-12,8.8,9.2,8.7,9.0,357500
377,IDXG,2018-06-13,9.3,9.3,8.8,8.8,229100
378,IDXG,2018-06-14,9.05,9.1,8.71,8.83,105000
379,IDXG,2018-06-15,8.8,8.95,8.71,8.76,131900
380,IDXG,2018-06-18,8.9,8.9,8.7,8.7,88200
381,IDXG,2018-06-19,8.7,8.8,8.5,8.5,241100
382,IDXG,2018-06-20,8.5,8.7,8.4,8.6,260500
383,IDXG,2018-06-21,8.7,8.8,8.45,8.8,249200
384,IDXG,2018-06-22,9.0,9.49,8.75,9.0,656500
385,IDXG,2018-06-25,9.1,9.2,8.8,8.9,251900
386,IDXG,2018-06-26,8.78,9.15,8.71,8.95,184500
387,IDXG,2018-06-27,9.0,9.0,8.7,8.8,199300
388,IDXG,2018-06-28,8.79,8.9,8.65,8.87,91600
389,IDXG,2018-06-29,8.87,9.0,8.65,8.9,214300
390,IDXG,2018-07-02,9.0,9.1,8.8,8.9,261600
391,IDXG,2018-07-03,9.1,9.1,8.9,9.0,99300
392,IDXG,2018-07-04,9.0,9.0,9.0,9.0,0
393,IDXG,2018-07-05,9.0,9.0,8.9,9.0,284900
394,IDXG,2018-07-06,9.0,9.0,8.9,9.0,306400
395,IDXG,2018-07-09,9.0,9.5,8.85,9.1,582200
396,IDXG,2018-07-10,9.0,9.36,8.95,9.1,125800
